Country,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy at 60,Premature deaths from non-communicable diseases,Suicide rate,Outdoor air pollution attributable deaths,Wastewater treatment,Biodiversity and habitat,Greenhouse gas emissions,Political rights,Freedom of expression,Freedom of assembly,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Globally ranked universities,Percentage of tertiary students enrolled in globally ranked universities,Depth of food deficit - capped,Adult literacy rate - capped,Secondary school enrollment - capped,Gender parity in secondary enrollment - difference from parity,Mobile telephone subscriptions - capped,Greenhouse gas emissions - capped,Globally ranked universities - bucketed,Percentage of tertiary students enrolled in globally ranked universities - bucketed,Income group
Sudan,77.11,31.48,41.7,49.25,55.82,42.43,60.04,36.31,49.67641026,27.78,28.38,12.38,24.3,176,310.85,70.1,119.89,24.33,50.18,23.64,0.25,32.56,3.682,104.59,6.5,4,4,5,24.3,58.6,54.75,42.7,0.95,70.53,26.61,72.53,17.84,588.8,6.8,110.69,0,42.8,1127.11,2,2,0.574285714,29.44444444,0.27,2,0.24,32.2,14,0.3,0.07,9.8,2,0.79,0.14,5.67,0.43,0,0,176,58.6,42.7,0.05,70.53,1127.11,0,0,Lower middle income
Suriname,92.68,78.59,72.38,64.90926829,83.22,78.38,57.89,68.87,70.19,68.87,58.71,31.28,8,56,155.16,21.3,82.56,65.8,88.42,79.22,0.44,100,3.45,11.12,9.5,3.05952381,3.476190476,2.80952381,19.1,95.54,94.79,81.14,1.27,136.83,42.76,16.7,19.35,420.6,24.54,40.93,15.71978261,81.12,440.9,34,15,0.7,30,0.87,4,0.106,72,45,0.67,0.36,5.8,4,0.75,0.491081081,10.14,0.19,0,0,56,95.54,81.14,0.27,100,440.9,0,0,Upper middle income
Swaziland,66.53,54.67,45.58,66.04,80.84,52.05,32.74,53.48,33.21,65.38,57.56,23.56,26.8,192,389.05,60.7,887.48,37.28,68.86,57.47,0.506756757,42,3.97,183.78,17.4,2.5,3,2.5,24.2,87.47,79.74,66.03,0.99,73.2,30.38,52.37,15.97,939.5,31.1,95.62,3.7,52.93,340.98,1,7,0.574285714,40,0.61,4,0.07,79,43,0.55,0.18,3.4,3,0.84,0.08,10,0.27,0,0,192,87.47,66.03,0.01,73.2,340.98,0,0,Lower middle income
Sweden,99.46,99.78,88.19,94.02,95.04,92.8,80.95,92.81,93.51,87.15,78.8,73.36,5,8,4.05,3,18.05,100,100,99.31,0.45,100,6.78,0,0.9,1,2,1,2.8,97.36388889,99.94,132.91,1.14,130.38,90.61,12.33,24.63,199.1,11.95,11.02,93.2,88.76,130.32,40,16,0.87,90,0.91,3,0.01,77.2,88,0.8,0.79,1.7,2,0.91,0.94,15.12,0.03,22,0.42,8,97.19527778,100,0.14,100,130.32,7,4,High income
Switzerland,99.42,99.96,91.38,93.96,98.77,92.19,83.05,92.99,90.74,89.02,75.17,74.57,5,8,5.19,3.9,13.1,100,100,99.88,0.59,100,6.89,0,0.5,1,2,1,3.3,97.36388889,99.8,99.77,0.97,136.47,87.48,11.76,25.54,180.4,12.12,15.55,95.16,90.43,116.29,39,15,0.785789474,90,0.93,3,0.01,85.7,86,0.7,0.78,3.8,3,0.93,1.1,14.42,0.06,20,0.46,8,97.19527778,99.77,0.03,100,116.29,6,5,High income
Syrian Arab Republic,70.50777778,36.54181818,35.4775,59.12967742,63.53806452,48.16375,54.68060606,50.31466667,44.1837931,46.10566667,43.18428571,12.05137931,24.64074074,185.5555556,513.1827273,77.03030303,438.9284848,17.33909091,59.89272727,31.11090909,0.43,30.51818182,2.444782609,164.7842424,6.83030303,5,5,5,26.4483871,59.370625,81.43034483,42.2509375,0.810645161,67.2521875,9.2084375,81.35,16.37484848,578.6484848,12.25424242,91.62515152,0.187666667,31.17,1167.355667,-3,2,0.593333333,10,0.653793103,3.3125,0.26516129,57.3,13,0.61,0.109615385,10,3.25,0.664482759,0.089090909,4.349090909,0.376,0,0,185.5555556,59.315,42.2509375,0.205483871,64.8315625,809.3306667,0,0,Low income
"Taiwan, China",98.78702128,96.4240625,85.8374,84.57826087,96.47425926,84.87,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,39.86,93.96650794,97.95269841,96.83621212,0.56,95.8484,5.98,0,3,2,2,1.5,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,127.3,78.04,24.37,22.82844828,281.1,13.47,34.33,7.08,76.61,390.9864815,37,16,0.785789474,70,0.69,4,0.034081633,75.61730769,61,0.77,0.45,4.598113208,4,0.87,1.09,14.04,0.066976744,36,0.23987013,11.61818182,97.19527778,96.92709677,0.047868852,100,390.9864815,8,2.666666667,High income
Tajikistan,78.36,67.83,72.92,68.52,93.58,58.74,65.89,53.68,16.35,48.02,46.83,35.78,33.2,250,31.98,44.8,75.07,44.77,66.72,95.03,0.68,100,3.68,60.59,1.4,3,3,3,18.8,99.78,99.3,87.89,0.9,98.59,18.98,50.34,18.4,460.3,4.95,105.26,2.25,74.2,489.26,1,2,0.593333333,20,0.57,1,0.13,55.5,25,0.4,0.109615385,7.6,4,0.83,0.26,11.78,0.07,0,0,250,99,87.89,0.1,98.59,489.26,0,0,Low income
Tanzania,69.96,23.51,34.52,61.8,68.75,55.34,59.09,62.21,50.86,55.35,43.03,18.13,32.1,238,398.13,48.7,425.59,12.59,45.55,15.55,0.32,15.3,2.94,141.08,7.9,3,3,3,32.9,80.36,78.05,32.26,0.91,75.86,5.36,28.65,16.37,451.2,11.14,58.97,1.44,94.34,665.78,25,9,0.56,25,0.77,3,0.2,54.9,32,0.51,0.09,5.4,3,0.64,0.03,7.06,0.28,0,0,238,80.36,32.26,0.09,75.86,665.78,0,0,Low income
Thailand,94.99,85.01,86.76,61.73,94.86,66.87,67.31,67.45,37.3,72.02,37.51,50.3,7.4,53,20.29,12.3,121.24,56.57,97.99,92.97,0.88,100,5.06,23.39,3.9,3,3,3,36.2,93.98,95.89,129,0.94,152.73,39.32,44.53,21.05,369.2,15.83,51.37,11.52,86.08,409.54,7,6,0.48,40,0.91,3,0.11,90.6,35,0.23,0.32,9,2,0.9,0.54,10.09,0.16,12,0.14,53,93.98,100,0.06,100,409.54,5,3,Upper middle income
Timor-Leste,78.66,41.97,48.42,63.84,83.12,64.72,63.37,55.00775,58.99,57.37,43.62184211,15.66,26.9,184,214.64,52.6,137.13,24.92,60.52,40.63,0.506756757,41.56,3.05,86.98,3.7,4,4,2,16.6,64.07,97.92,76.76,1.07,117.4,13.4,32.02,17.08,365.2,10.33,46.86,3.548205128,71.39,617,29,12,0.574285714,20,0.721794872,4,0.08,48.7,35,0.528461538,0.161621622,6.7,3,0.75974359,0.339375,6.92,0.48,0,0,184,64.07,76.76,0.07,100,612.0821429,0,0,Lower middle income
Togo,78.44,19.68,31.84,67.65,64.63,52.3,53.77,52.73,46.98,51.37,47.65,11.49,11.4,75,368.24,78.4,480.92,5.47,44.21,11.62,0.41,31.46,2.444782609,181.33,9.2,3,3,1.5,31.1,66.54,97.46,54.71,0.53,67.71,7.12,30.31,15.55,524.2,14.16,87.73,0,71.34,668.99,18,9,0.593333333,30,0.72,4,0.16,34.3,32,0.69,0.07,4.8,4,0.5,0.13,4.19,0.39,0,0,75,66.54,54.71,0.47,67.71,668.99,0,0,Low income
Tonga,94.30555556,91.01,74.66829268,64.90926829,94.08,66.34,61.81,63.09666667,53.034,60.9365,49.3155,41.95813953,7.922222222,45.17777778,123.95,16.7,87.35,78.24,99.61,91.02,0.441219512,95.86,4.323421053,43.42,0.1,3.05952381,3.476190476,2.80952381,7.6,99.4,98.61,90.1,1.09,69.09,45,21.24,18.83,582.5,7.14,8.35,15.71978261,79.33,729.97,30,12,0.588857143,25,0.7255,4,0.106,48.3,38.75510204,0.54195122,0.241081081,6.579166667,4,0.82195122,0.21,12.18,0.162926829,0,0,45.35555556,99,90.1,0.09,69.09,729.97,0,0,Upper middle income
Trinidad and Tobago,94.5,90.52,78.94,54.93,96.47425926,82.92,59.17,59.42,75.4,67.61,65.13,39.55,7.4,55,62.72,20.4,51.11,83.52,95.14,91.52,0.34,99.83,5.17,0.86,25.9,5,4,2,14.1,98.97,98.73,106.1520968,1.007868852,157.67,69.2,23.29,18.28,512.9,13.86,37.67,5,88.51,1030.21,33,15,0.74,50,0.83,4,0.03,64.4,35,0.68,0.27,4.4,4,0.88,0.39,13.28,0.07,0,0,55,98.97,96.92709677,0.047868852,100,1030.21,0,0,High income
Tunisia,97.54,89.22,77.51,71.73,91.41,74.24,72.72,70.68,71.74,62.6,36.92,36.71,5,3,62.02,14,34.86,82.01,93.2,91.59,0.29,100,5.06,0.41,3.1,2,3,2.5,24.4,81.05,99.68,88.2,1.05,129.91,48.52,31.6,19.66,305.2,5.05,47.86,44.1,61.04,275.8,36,13,0.74,40,0.6,2,0.02,73,41,0.61,0.04,7.9,2,0.7,0.52,9.1,0.35,2,0.19,8,81.05,88.2,0.05,100,275.8,2,3,Lower middle income
Turkey,98.38,98.34,79.31,64.61,94.9,66.94,76.77,61.18,35.69,56.13,41.5,50.43,5,1,15.95,13.5,16.59,100,100,94.87,0.54,100,4.4,2.48,4.3,3,4,3.5,8.9,95.69,93.18,100.28,0.97,96.02,53.74,50.76,21.12,275.8,4.05,41.62,31.55,22.53,314.11,18,6,0.26,40,0.62,1,0.1,60.4,41,0.56,0.23,9.5,2,0.87,0.36,8.76,0.14,21,0.11,8,95.69,100,0.03,96.02,314.11,7,3,Upper middle income
Turkmenistan,93.65,44.74,77.81,68.23,93.86,45.57,56.56,35.32,9.49,58.37,59.56,41.95813953,5,22,42.02,51.4,58.46,53.59,34.6,62.69,0.32,100,4.323421053,1.02,4.3,3,3,3,17.4,99.69,94.47297872,85.34,0.96,145.94,15,83.44,16.66,597.6,8.76,100.43,9.8,49.93,1680.56,0,1,0.588857143,5,0.69,1,0.05,75.4,22,0.72,0.241081081,6.8,4,0.91,0.491081081,14.01,0.162926829,0,0,22,99,85.34,0.04,100,1500,0,0,Upper middle income
Turks and Caicos Islands,98.78702128,68.45,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,28.2,87.03,81.4,0.5088,90.88,6.023333333,1.558852459,6.6,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,132.106338,78.7539726,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,96.92709677,0.047868852,98.23126761,390.9864815,0,0,High income
Tuvalu,94.30555556,92.36,74.66829268,64.90926829,91.84930233,69.16829787,65.31884615,63.09666667,53.034,60.9365,49.3155,41.95813953,7.922222222,45.17777778,68.1994,27.1,93.5,96.85,97.03,83.31,0.441219512,44.56,4.323421053,22.67207547,20.3,3.05952381,3.476190476,2.80952381,17.95882353,94.1487234,98.89,86.16,1.28,40.34,42.7,38.39583333,16.24,451.4403846,10.78226415,51.1509434,15.71978261,71.5248,583.6268627,37,16,0.588857143,34.3,0.7255,3,0.106,64.16078431,38.75510204,0.54195122,0.241081081,6.579166667,3,0.82195122,0.491081081,11.14692308,0.1,0,0,45.35555556,94.02212766,86.16,0.28,40.34,533.1368627,0,0,Upper middle income
Uganda,73.94,36.78,36.58,62.68,68,48.55,54.92,57.21,41.77,47.99,36.93,29.77,25.5,172,343.13,54.6,449.79,5.02,75.84,19.08,0.39,18.16,3.37,158.84,11.8,3,3,3,27.4,73.81,84.49,26.1,0.89,50.37,19.22,32.58,17.32,560.1,15.87,102.25,0.42,93.61,523.17,11,9,0.51,25,0.73,2,0.23,46.9,25,0.41,0.33,9,2,0.75,0.08,6.16,0.29,1,0.27,172,73.81,26.1,0.11,50.37,523.17,1,4,Low income
Ukraine,98.47,89.12,74.74,57.32,97.52,73.84,52.73,50.37,62.99,53.56,40.52,69.07,5,8,24.45,9,34.16,68.56,97.78,95.94,0.34,100,4.35,7.09,4.4,4,4,4,13.5,99.76,96.52,99.24,0.98,144.02,48.88,32.93,18.34,595.3,21.2,75.94,14.13,65.58,1027.45,25,11,0.84,25,0.46,3,0.07,68.6,29,0.37,0.12,6.9,2,0.86,1.5,14.69,0.04,8,0.06,8,99,99.24,0.02,100,1027.45,4,2,Lower middle income
United Arab Emirates,98.38,93.44,90.35,80.92,96.47425926,83.69,69.92,75.87,31.01,75.25,62.75,55.47,5,18,6.1,6.8,49.74,78.74,99.99,97.56,0.6,97.7,6.7,0.02,0.7,1,3,2.5,10.9,92.99,99.51,106.1520968,1.007868852,187.35,91.24,36.73,20.09,444.3,4.02,84.7,87.14,89.41,411.81,7,4,0.28,55,0.94,3,0.07,58.5,66,0.91,0.574888889,3.6,3,0.85,0.43,13.18,0.066976744,6,0.21,18,92.99,96.92709677,0.047868852,100,411.81,3,4,High income
United Kingdom,99.11,99.74,87.53,85.45,98.46,89.61,81.16,91.88,90.76,87.31,69.49,84.26,5,8,9.11,4.2,33.32,100,100,99.21,0.44,100,6.67,0,0.9,2,3,1,2.9,97.36388889,99.85,127.81,1.04,124.13,92,21.7,24.08,243.6,7.41,22.8,96.34,98.98,237.8,40,14,0.88,90,0.81,4,0,92.2,81,0.8,0.76,5.9,2,0.95,0.96,14.9,0.03,147,0.62,8,97.19527778,100,0.04,100,237.8,10,6,High income
United States,98.96,98.77,89.18,86.76,97.95,84.63,75.88,78.31,88.98,79.88,68.3,89.55,5,8,13.75,6.5,23.33,98.64,98.16,99.99,0.57,100,6.47,0,3.9,1,2,2,10.6,97.36388889,98.04,97.56,1.02,117.59,74.45,22.49,23.61,299.4,12.41,18.48,50.44,79.35,392.7,36,16,0.86,80,0.75,3,0.03,85.1,74,0.79,0.71,5.1,2,0.9,1.86,15.06,0.05,329,0.21,8,97.19527778,97.56,0.02,100,392.7,10,4,High income
Uruguay,97.86,95.8,81.21,74.02,92.49,84.52,67.92,61.09,89.54,81.29,80.18,55.17,5,24,14.81,10.1,42.98,99.35,93.86,96.44,0.3,99.5,5.9,0.74,7.8,2,4,1,16.6,98.44,94.61,95.07,1.11,160.21,64.6,15.88,22.05,375.1,17.63,26.61,2.15,54.32,558.3,40,16,0.88,70,0.88,4,0.11,87.1,71,0.73,0.74,2.7,4,0.9,0.28,12.08,0.09,2,0.73,24,98.44,95.07,0.11,100,558.3,2,6,High income
Uzbekistan,94.76,76.79,88.08,70.7,98.04,52.06,60.06,35.22,5.31,68,55.78,39.39,5,29,35.93,39.1,46.44,47.37,80.91,100,0.85,100,3.682,28.4,3.2,3,3,3,11.2,100,98.88,95.92,0.98,73.32,42.8,61.15,18.38,552.4,10.46,98.27,0,56.18,1706.55,0,0,0.06,15,0.98,1,0.05,82.3,21,0.72,0.161621622,7.3,3,0.94,0.339375,12.97,0.01,0,0,29,99,95.92,0.02,73.32,1500,0,0,Lower middle income
Vanuatu,93.4,65.39,60.13487179,63.07775,81.6875,61.50731707,42.56,55.00775,49.67641026,56.89425,43.62184211,27.78487805,6.4,41,78.41,27.5,134.95,34.71,92.92,57.95,0.506756757,27.08,3.682,129.56,2.9,3.182926829,3.414634146,3.036585366,16.6,85.06,90.90444444,54,1.05,66.25,22.35,39.62595238,18.21,977.9,18.59,48.52,3.548205128,50.35,1011.51,32,15,0.574285714,40,0.721794872,4,0.158717949,58.2,33.8372093,0.528461538,0.161621622,7.06744186,4,0.75974359,0.339375,8.94,0.17,0,0,41,85.06,54,0.05,66.25,1011.51,0,0,Lower middle income
"Venezuela, RB",94.30555556,83.56358491,74.66829268,64.90926829,91.84930233,69.16829787,65.31884615,63.09666667,30.5,60.9365,49.3155,41.95813953,7.922222222,45.17777778,68.1994,20.63773585,93.5,77.25259259,89.33358491,83.45327273,0.17,91.47685185,1.8,22.67207547,9.451851852,5,5,3.5,17.95882353,94.1487234,94.47297872,90.56428571,1.036938776,111.5762963,48.57055556,44.77,19.76388889,451.4403846,10.78226415,51.1509434,15.71978261,95.73,583.6268627,11,8,0.35,5,0.44,3,0.106,77.8,17,0.63,0.47,7.4,3.185185185,0.9,0.491081081,11.14692308,0.162926829,5,0.06,45.35555556,94.02212766,88.7244898,0.065102041,90.70759259,533.1368627,3,2,Upper middle income
Vietnam,92.29,71.68,76.29,75.03,81.6875,59.12,73.79,61.19,23.71,66.09,49.75,28.08,11,83,54.11,21.7,69.56,27.23,96.86,77.99,0.59,99,4.37,37.41,1.5,2,2,3,24.5,94.51,99.87,69.95651163,0.985581395,130.64,52.72,74.27,22.53,375.5,8.61,54.66,0.15,82.37,605.85,3,4,0.39,15,0.85,2,0.1,78.2,33,0.45,0.2,6.2,3,0.87,0.22,9.65,0.18,0,0,83,94.51,69.87093023,0.095348837,100,605.85,0,0,Lower middle income
Virgin Islands (U.S.),98.78702128,84.99,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,36.5,48.94,100,96.4,0.5088,90.88,6.023333333,0.53,52.6,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,132.106338,54.84,23.46236364,22.82844828,281.2,6.86,37.12,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,78.8,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,96.92709677,0.047868852,98.23126761,390.9864815,0,0,High income
West Bank and Gaza,84.93428571,76.99,79.2,71.52,89.09,64.41,67.76,55.00775,49.67641026,60.54,32.03,34.5,13.66428571,94.23809524,45.5,21.1,37.78,56.24,81.49,92.33,0.39,97.7,3.682,2.33,0.6,3,3,3.5,5.6,96.67,92.69,83,1.1,77.62,57.42,42.93,17.94777778,463.3,2.78,58.7,3.548205128,68.92863636,617,4,6,0.574285714,29.44444444,0.6,3,0.06,63.2,33.8372093,0.47,0.06,7.06744186,1,0.82,0.339375,11.08,0.16,0,0,94.35714286,96.67,83,0.1,77.62,612.0821429,0,0,Lower middle income
"Yemen, Rep.",78.31,43.73,45.72,49.22,64.66,43.2,53.42,46.85,26.64,41.2,23.28,5.31,26.1,182,385.16,41.9,94.74,40.44,46.53,53.33,0.51,48.41,1.22,71.1,6.7,3,5,5,21.5,69.96,85.69,48.62,0.69,67.98,25.1,67.07,16.36,715.4,7.15,127.96,0,47.95,332.27,2,5,0.593333333,30,0.5,2,0.17,49.7,14,0.29,0.109615385,9.5,1,0.77,0.11,2.35,0.48,0,0,182,69.96,48.62,0.31,67.98,332.27,0,0,Low income
Zambia,57.74,36.23,32.8,65.25,81.6875,56.58,47.08,54.89,49.63,60.36,48.54,21.69,47.8,405,224.24,64,666.31,15.75,51.34,43.87,0.49,22.06,2.51,187.19,5.8,3,3,3,24.7,85.12,89.04,69.95651163,0.985581395,74.47,21,35.08,17.69,725.1,22.32,89.23,4.2,97.06,895.08,23,10,0.48,30,0.79,3,0.19,65.9,38,0.56,0.09,5.4,3,0.76,0.04,7.75,0.22,0,0,405,85.12,69.87093023,0.095348837,74.47,895.08,0,0,Lower middle income
Zimbabwe,63.66,44.62,42.66,54.28,81.6,56.95,49.44,55.15,26.09,56.31,43.77,26.66,33.4,259,443.31,70.7,648.15,27.51,67.3,36.83,0.56,40.46,2.31,138.88,6.7,3,5,3,28.2,86.87,90.75,47.57,0.98,84.79,16.36,40.41,17.77,493,30.79,64.52,0,94.31,1050.12,12,8,0.17,10,0.73,3,0.26,85.1,22,0.57,0.08,7.5,3,0.77,0.03,10.2,0.17,0,0,259,86.87,47.57,0.02,84.79,1050.12,0,0,Low income
